Title,Short Description,Location,Price,Timestamp,Size
1 Kanal Brand New Modern Design Luxury Bungalow For Sale Top Location Of Dha Phase 6,"One Kanal Bungalow Details 

5 Mast","DHA Phase 6 - Block N, DHA Phase 6",6.95 Crore,Added: 8 hours ago,1 Kanal
1 Kanal Most Beautiful Full Basement Modern Design Bungalow For Sale At Prime Location Of Dha,BRAND ARCHITECTURE STRAIGHT LINE DE,"DHA Phase 6 - Block K, DHA Phase 6",7.3 Crore,Added: 9 hours ago,1 Kanal
Eyes Catching One Kanal Brand New Modern Design Bungalow At Prime Location In Dha Phase 6,"Harram Estate &amp; Builders 
EYES ","DHA Phase 6 - Block K, DHA Phase 6",7.45 Crore,Added: 9 hours ago,1 Kanal
Full Basement 8 Marla Spanish Villa For Sale Near From Big Park And Market,Believers Real Estate Presents Dire,"DHA 9 Town, DHA Defence",3.85 Crore,Added: 11 hours ago,8 Marla
1 Kanal Ultra Modern Bungalow For Sale In Dha Phase 7 Lahore,BELIEVERS REAL ESTATEPresents Direc,"DHA Phase 7, DHA Defence",5.25 Crore,Added: 12 hours ago,1 Kanal
2 Kanal Luxurious Villa Mazhar Munir For Sale In Heart Of DHA Phase 1 Lahore,2 Kanal Luxurious Villa Mazhar Muni,"DHA Phase 1, DHA Defence",16.5 Crore,Added: 6 minutes ago,2 Kanal
2 Kanal Full Furnished Designer Bungalow With Swimming Pool And Home Theater Of DHA Phase 6 Lahore,2-Kanal Luxurious Brand New Fully F,"DHA Phase 6, DHA Defence",42 Crore,Added: 6 minutes ago,2 Kanal
2 Kanal Owner Living Ultra-modern Most Beautiful Furnished Bungalow For Sale At Prime Location Of DHA Phase 6 Lahore,"Amazing woodwork, all teak wood/ash","DHA Phase 6 - Block H, DHA Phase 6",15.25 Crore,Added: 6 minutes ago,2 Kanal
Service Apartments-plan 9 & 11 For Sale In Gulberg City Centre,Gulberg City Centre Is A Brand New ,"Gulberg City Centre, Main Boulevard Gulberg",1.9 Crore,Added: 23 minutes ago,2.3 Marla
Apartment Available on 5th Floor For Sale In J Heights,An exotic experience in the making ,"J Heights, Raiwind Road",1.67 Crore,Added: 25 minutes ago,4.9 Marla
1 kanal luxury house for sale,"1 kanal Luxury House
Brand New 
Ban","Bankers Avenue Cooperative Housing Society, Lahore",4.5 Crore,Added: 2 hours ago,1 Kanal
9 Marla luxury house for sale,"9 Marla Luxury House
Brand New 
Ban","Bankers Avenue Cooperative Housing Society, Lahore",3.1 Crore,Added: 3 hours ago,9 Marla
2 Kanal Beautiful Ultra New Modern House In Dha Phase 6 K Bolock Near Raya Club Lahore,2 KANAL BEAUTIFUL ULTRA NEW MODERN ,"DHA Phase 6, DHA Defence",35 Crore,Added: 6 minutes ago,2 Kanal
4 Marla Flat Low Budget Property For Family,4 Marla ground floor flat near main,"Green Town - Main Market Road, Green Town Sector D2",35 Lakh,Added: 7 minutes ago,4 Marla
5 MARLA BRAND NEW HOUSE FOR SALE,"5 Bed Rooms
Attached Bath Rooms
1 E","Nasheman-e-Iqbal Phase 2, Nasheman-e-Iqbal",2.9 Crore,Added: 7 minutes ago,10 Marla
09 Marla Brand New House Available For Sale In Bankers Avenue Cooperative Housing Society Block H,"Hafiz Estate offers,

09 Marla Bran","Bankers Avenue - Block H, Bankers Avenue Cooperative Housing Society",3 Crore,Added: 9 minutes ago,9 Marla
2 Kanal Brand New 100% Original Victorian Design Bungalow For Sale With Home Theatre IN DHA Phase 6 Lahore,2 Kanal Brand New 100% Original Vic,"DHA Phase 6, DHA Defence",22.75 Crore,Added: 9 minutes ago,2 Kanal
10 Marla 4th Floor Flat For Sale.,Maymar's properties Offer Hot/prime,"Askari 11, Askari",2.65 Crore,Added: 5 minutes ago,10 Marla
5 Marla Brand New House For Sale,"4 bed rooms
4 bath rooms
2 kitchen
","Nasheman-e-Iqbal Phase 2, Nasheman-e-Iqbal",1.65 Crore,Added: 7 minutes ago,5 Marla
3 Marla house for sale,3 Marla excellent house for sale in,"Military Accounts Housing Society, Lahore",98 Lakh,Added: 10 minutes ago,4 Marla
5 MARLA BRAND NEW HOUSE FOR SALE,"5 MARLA BRAND NEW HOUSE
Prime locat","Nasheman-e-Iqbal Phase 2, Nasheman-e-Iqbal",1.75 Crore,Added: 10 minutes ago,5 Marla
10 Marla 4th Floor Flat For Sale.,Maymar's properties Offer Hot/prime,"Askari 11, Askari",2.65 Crore,Added: 10 minutes ago,10 Marla
1 Kanal Brand New Ultra Modren Design Bungalow For Sale At Prime Location Of DHA,"Tv Lounge
 2 Kitchens
 Huge Parking","DHA Phase 7, DHA Defence",6.99 Crore,Added: 11 minutes ago,1 Kanal
1 Kanal Modern Beautiful House Hot Location For Sale In Dha Phase 3 Lahore,1 Kanal Modern Beautiful House Hot ,"DHA Phase 3, DHA Defence",5.5 Crore,Added: 14 minutes ago,1 Kanal
10 Marla 4th Floor Flat For Sale In Askari 11 Lahore.,Maymar's properties Offer Hot/prime,"Askari 11, Askari",2.6 Crore,Added: 14 minutes ago,10 Marla
